First name,Last name,Department,Position
Kate,Summer,HR,TEAM_LEAD
Ken,Winter,TECHNICAL_SUPPORT,ASSISTANT
James,Anderson,CUSTOMER_SERVICE,HEAD
Sarah,Johnson,HR,ASSISTANT
John,Smith,TECHNICAL_SUPPORT,TEAM_LEAD
Emily,Brown,CUSTOMER_SERVICE,ASSISTANT
Michael,Williams,TECHNICAL_SUPPORT,HEAD
Sophia,Taylor,HR,TEAM_LEAD
David,Wilson,CUSTOMER_SERVICE,ASSISTANT
Olivia,Martinez,TECHNICAL_SUPPORT,HEAD
Ethan,Anderson,HR,ASSISTANT
Mia,Clark,CUSTOMER_SERVICE,TEAM_LEAD
John,Anderson,TECHNICAL_SUPPORT,HEAD
Sam,Johnson,HR,ASSISTANT
John,Brown,CUSTOMER_SERVICE,TEAM_LEAD
Emma,Brown,TECHNICAL_SUPPORT,ASSISTANT
Max,Williams,HR,HEAD
Sonya,Taylor,CUSTOMER_SERVICE,ASSISTANT
Denis,Wilson,TECHNICAL_SUPPORT,TEAM_LEAD
Olga,Martinez,HR,HEAD
Ed,Anderson,CUSTOMER_SERVICE,ASSISTANT
Milla,Clark,TECHNICAL_SUPPORT,TEAM_LEAD
Sophia,Lopez,HR,ASSISTANT
Benjamin,Hill,CUSTOMER_SERVICE,HEAD
Jessica,Lee,TECHNICAL_SUPPORT,ASSISTANT
